,Overall Rank,City,Total Score,Emotional & Physical Well-Being,Income & Employment,Community & Environment,State
0,1,Fremont,77.13,1,46,2, CA
1,2,Columbia,71.64,3,161,5, MD
2,3,San Francisco,71.15,4,1,44, CA
3,4,San Jose,71.0,2,6,55, CA
4,5,Irvine,70.38,5,16,12, CA
5,6,Madison,68.1,10,11,19, WI
6,7,Seattle,67.67,6,2,99, WA
7,8,Overland Park,67.46,12,54,13, KS
8,9,Huntington Beach,66.43,9,51,43, CA
9,10,San Diego,65.82,14,18,25, CA
10,11,Fargo,65.46,22,24,23, ND
11,12,Minneapolis,65.09,8,20,80, MN
12,13,Bismarck,64.65,48,32,4, ND
13,14,Santa Rosa,64.52,13,22,105, CA
14,15,Santa Clarita,64.44,15,100,29, CA
15,16,Oakland,64.35,7,105,87, CA
16,17,Sioux Falls,64.34,20,74,27, SD
17,18,Glendale,64.05,31,91,11, CA
18,19,Scottsdale,63.78,50,43,6, AZ
19,20,Anaheim,63.72,25,75,33, CA
20,21,Aurora,63.6,21,144,8, IL
21,22,Plano,63.33,37,48,24, TX
22,23,Oxnard,63.29,26,132,10, CA
23,24,Garden Grove,63.15,24,80,52, CA
24,25,Chula Vista,63.01,17,113,30, CA
25,26,Charleston,62.76,53,3,31, SC
26,27,Raleigh,62.35,23,71,63, NC
27,28,Honolulu,62.24,44,72,21, HI
28,29,Cedar Rapids,62.22,38,83,40, IA
29,30,Austin,62.04,35,5,109, TX
30,31,Portland,61.96,28,10,150, ME
31,32,Pearl City,61.78,36,148,22, HI
32,33,Oceanside,61.72,30,110,53, CA
33,34,Gilbert,61.72,55,34,17, AZ
34,35,Lincoln,61.1,27,67,104, NE
35,36,Boston,61.07,43,15,89, MA
36,37,South Burlington,60.65,11,56,181, VT
37,38,Santa Ana,60.62,45,31,86, CA
38,39,Pembroke Pines,60.59,51,125,15, FL
39,40,Burlington,60.32,34,9,170, VT
40,41,Portland,60.31,49,21,88, OR
41,42,Aurora,60.15,19,154,69, CO
42,43,Jersey City,59.74,40,170,20, NJ
43,44,Yonkers,59.69,18,163,102, NY
44,45,Chandler,59.62,58,60,38, AZ
45,46,St. Paul,59.54,33,96,121, MN
46,47,Omaha,59.48,52,79,56, NE
47,48,Juneau,59.27,32,14,179, AK
48,49,Sacramento,59.27,64,30,49, CA
49,50,Cheyenne,59.05,101,47,3, WY
50,51,Virginia Beach,58.9,62,120,18, VA
51,52,Peoria,58.84,72,58,16, AZ
52,53,Tempe,58.79,71,17,50, AZ
53,54,Los Angeles,58.7,39,85,128, CA
54,55,Salt Lake City,58.58,57,33,116, UT
55,56,Chicago,58.43,47,166,46, IL
56,57,Denver,58.41,16,134,153, CO
57,58,New York,58.35,46,164,51, NY
58,59,Anchorage,58.18,60,102,54, AK
59,60,Long Beach,58.13,41,142,101, CA
60,61,Nashua,58.11,68,104,35, NH
61,62,Boise,58.09,59,13,119, ID
62,63,Cape Coral,58.05,89,45,9, FL
63,64,Colorado Springs,57.74,63,97,59, CO
64,65,Pittsburgh,57.72,80,29,41, PA
65,66,Fort Lauderdale,57.65,67,84,62, FL
66,67,Charlotte,57.61,61,78,68, NC
67,68,Bridgeport,57.34,42,165,91, CT
68,69,Chesapeake,57.32,81,145,7, VA
69,70,Warwick,57.19,69,62,90, RI
70,71,Rancho Cucamonga,57.13,83,36,48, CA
71,72,Rapid City,57.12,76,27,76, SD
72,73,Missoula,57.12,88,40,28, MT
73,74,Durham,56.92,54,69,123, NC
74,75,Miami,56.78,56,52,142, FL
75,76,Des Moines,56.65,70,68,81, IA
76,77,Columbia,56.62,108,4,37, SC
77,78,Reno,56.13,65,37,143, NV
78,79,Casper,55.76,127,123,1, WY
79,80,Tampa,55.62,94,38,60, FL
80,81,West Valley City,55.5,78,82,85, UT
81,82,Tacoma,55.5,75,98,93, WA
82,83,Grand Prairie,55.08,98,89,42, TX
83,84,Vancouver,55.08,73,49,147, WA
84,85,Washington,55.05,29,57,182, DC
85,86,Port St. Lucie,55.03,115,65,14, FL
86,87,Mesa,55.01,86,77,64, AZ
87,88,Providence,54.84,113,25,47, RI
88,89,Irving,54.73,85,55,98, TX
89,90,Manchester,54.66,84,129,57, NH
90,91,Orlando,54.59,96,19,108, FL
91,92,Grand Rapids,54.32,104,53,66, MI
92,93,Atlanta,54.27,79,87,115, GA
93,94,Hialeah,54.2,66,157,110, FL
94,95,Tallahassee,54.16,130,8,45, FL
95,96,Ontario,53.97,119,64,32, CA
96,97,Garland,53.82,92,108,67, TX
97,98,Henderson,53.72,87,143,58, NV
98,99,Fontana,53.44,118,95,34, CA
99,100,St. Petersburg,53.39,100,35,134, FL
100,101,Modesto,53.21,112,42,92, CA
101,102,Moreno Valley,53.11,120,116,26, CA
102,103,Fort Worth,52.85,97,124,83, TX
103,104,Riverside,52.84,107,28,125, CA
104,105,Billings,52.51,122,26,107, MT
105,106,Spokane,52.17,126,7,129, WA
106,107,Arlington,52.14,93,122,118, TX
107,108,Glendale,51.84,106,112,114, AZ
108,109,Nashville,51.83,117,107,74, TN
109,110,Worcester,51.69,95,139,126, MA
110,111,Dallas,51.5,90,93,154, TX
111,112,Houston,51.41,74,140,164, TX
112,113,Norfolk,50.85,102,167,96, VA
113,114,Milwaukee,50.76,103,152,113, WI
114,115,Laredo,50.64,105,50,165, TX
115,115,Wilmington,50.64,125,126,77, DE
116,117,Tucson,50.6,114,66,148, AZ
117,118,New Haven,50.58,77,115,178, CT
118,119,Phoenix,50.39,91,106,169, AZ
119,120,El Paso,50.31,109,130,132, TX
120,121,Albuquerque,50.31,82,101,176, NM
121,122,Stockton,50.15,99,150,137, CA
122,123,Fresno,50.1,123,86,136, CA
123,124,Nampa,50.06,145,99,39, ID
124,125,Brownsville,50.05,133,73,122, TX
125,126,Bakersfield,49.98,132,103,100, CA
126,127,Jacksonville,49.89,147,109,36, FL
127,128,Las Cruces,49.74,110,118,156, NM
128,129,Winston-Salem,49.43,138,94,97, NC
129,130,San Antonio,49.31,116,88,160, TX
130,131,Rochester,48.96,131,114,139, NY
131,132,Newark,48.75,111,182,73, NJ
132,133,Las Vegas,48.61,124,169,95, NV
133,134,Columbus,48.28,128,138,145, OH
134,135,North Las Vegas,48.21,135,175,61, NV
135,136,Buffalo,48.2,121,136,157, NY
136,137,Greensboro,48.12,129,70,167, NC
137,138,Lexington-Fayette,47.9,134,121,144, KY
138,139,Corpus Christi,47.54,137,62,159, TX
139,140,Huntsville,46.79,152,119,79, AL
140,141,Philadelphia,46.78,148,146,75, PA
141,141,Wichita,46.78,143,127,130, KS
142,143,Amarillo,46.75,159,76,70, TX
143,144,Lewiston,46.71,166,12,78, ME
144,145,Salem,46.39,144,41,175, OR
145,146,Newport News,46.38,141,174,72, VA
146,147,New Orleans,46.35,146,111,146, LA
147,148,Oklahoma City,46.32,155,135,82, OK
148,149,Baltimore,45.97,142,178,84, MD
149,150,Richmond,45.97,136,176,133, VA
150,151,Dover,45.74,151,92,155, DE
151,152,Kansas City,45.61,140,128,166, MO
152,153,San Bernardino,45.36,149,137,140, CA
153,154,Cincinnati,45.15,139,147,163, OH
154,155,Fort Wayne,45.0,154,149,117, IN
155,156,Springfield,44.95,167,44,103, MO
156,157,Lubbock,44.89,157,23,168, TX
157,158,Baton Rouge,44.37,156,90,152, LA
158,159,Louisville,44.1,158,151,111, KY
159,160,Indianapolis,43.7,150,177,131, IN
160,161,St. Louis,43.68,153,160,149, MO
161,162,Tulsa,43.35,163,117,138, OK
162,163,Little Rock,43.25,164,133,106, AR
163,164,Knoxville,43.1,169,59,94, TN
164,165,Akron,42.29,162,168,112, OH
165,166,Chattanooga,42.24,165,141,120, TN
166,167,Columbus,40.9,177,131,65, GA
167,168,Fayetteville,40.83,161,155,171, NC
168,169,Jackson,40.6,160,159,174, MS
169,170,Birmingham,39.54,168,158,162, AL
170,171,Toledo,39.17,172,171,127, OH
171,172,Charleston,39.13,173,81,173, WV
172,173,Shreveport,39.01,175,173,71, LA
173,174,Mobile,38.94,171,172,124, AL
174,175,Fort Smith,37.45,180,61,158, AR
175,176,Augusta,36.64,178,162,135, GA
176,177,Cleveland,36.52,170,156,180, OH
177,178,Montgomery,35.54,174,180,161, AL
178,179,Huntington,35.53,182,39,141, WV
179,180,Memphis,34.86,176,181,172, TN
180,181,Gulfport,34.71,181,153,151, MS
181,182,Detroit,32.31,179,179,177, MI
